frame_idx,t_frame_start,t_after_inference,t_first_command,human,bbox_cx,bbox_cy,diff_x,diff_y,pan_step_deg,inference_latency_ms,command_latency_ms,total_software_latency_ms
166,1553.698345,1553.727095,1553.728308,1,281,394,-359,34,-1.2,28.75,1.213,29.963
167,1553.746757,1553.77597,1553.777273,1,280,394,-360,34,-1.2,29.213,1.304,30.517
168,1553.786413,1553.818497,1553.819677,1,280,392,-360,32,-1.2,32.084,1.18,33.264
169,1553.836488,1553.868367,1553.869548,1,280,392,-360,32,-1.2,31.879,1.181,33.06
170,1553.880515,1553.917276,1553.91849,1,279,392,-361,32,-1.2,36.761,1.214,37.976
171,1553.936188,1553.966004,1553.967174,1,277,392,-363,32,-1.2,29.816,1.17,30.986
172,1553.976187,1554.004812,1554.00598,1,277,392,-363,32,-1.2,28.625,1.168,29.793
173,1554.024815,1554.054123,1554.055359,1,277,394,-363,34,-1.2,29.308,1.236,30.544
174,1554.064597,1554.091856,1554.09319,1,277,395,-363,35,-1.2,27.259,1.334,28.594
175,1554.109734,1554.13868,1554.139875,1,277,395,-363,35,-1.2,28.946,1.195,30.141
176,1554.1509,1554.178238,1554.179447,1,277,395,-363,35,-1.2,27.338,1.209,28.547
177,1554.196252,1554.223912,1554.225145,1,276,395,-364,35,-1.2,27.66,1.233,28.893
178,1554.234062,1554.260542,1554.261727,1,276,396,-364,36,-1.2,26.48,1.185,27.665
179,1554.280154,1554.30855,1554.310053,1,276,396,-364,36,-1.2,28.396,1.503,29.899
180,1554.319366,1554.350562,1554.351773,1,276,398,-364,38,-1.2,31.196,1.211,32.407
181,1554.368482,1554.397004,1554.398196,1,276,399,-364,39,-1.2,28.522,1.191,29.713
182,1554.40909,1554.438028,1554.439218,1,276,399,-364,39,-1.2,28.937,1.191,30.128
183,1554.456293,1554.484804,1554.485985,1,277,400,-363,40,-1.2,28.511,1.181,29.692
184,1554.494967,1554.522702,1554.523914,1,277,401,-363,41,-1.2,27.734,1.212,28.947
185,1554.542533,1554.571422,1554.572608,1,278,401,-362,41,-1.2,28.889,1.187,30.075
186,1554.5819,1554.609031,1554.610389,1,279,401,-361,41,-1.2,27.131,1.359,28.489
187,1554.627043,1554.655084,1554.65635,1,289,400,-351,40,-1.2,28.041,1.267,29.308
188,1554.66843,1554.699361,1554.700574,1,293,397,-347,37,-1.2,30.931,1.213,32.144
189,1554.718902,1554.752232,1554.753539,1,293,397,-347,37,-1.2,33.331,1.307,34.637
190,1554.762557,1554.793149,1554.794375,1,295,395,-345,35,-1.2,30.592,1.227,31.818
191,1554.813226,1554.842854,1554.84415,1,295,395,-345,35,-1.2,29.628,1.296,30.924
192,1554.85339,1554.88245,1554.88364,1,297,396,-343,36,-1.2,29.059,1.191,30.25
193,1554.900115,1554.928241,1554.929432,1,293,395,-347,35,-1.2,28.126,1.19,29.316
194,1554.940127,1554.96849,1554.969652,1,295,395,-345,35,-1.2,28.362,1.163,29.525
195,1554.986588,1555.01409,1555.015326,1,296,396,-344,36,-1.2,27.502,1.236,28.738
196,1555.024569,1555.053677,1555.05493,1,298,395,-342,35,-1.2,29.108,1.254,30.362
197,1555.071658,1555.100474,1555.101659,1,304,394,-336,34,-1.2,28.817,1.185,30.002
198,1555.112722,1555.14972,1555.151012,1,305,394,-335,34,-1.2,36.999,1.291,38.29
199,1555.168695,1555.200926,1555.202112,1,312,395,-328,35,-1.2,32.231,1.186,33.416
200,1555.21165,1555.242162,1555.243495,1,311,395,-329,35,-1.2,30.513,1.332,31.845
201,1555.260316,1555.289011,1555.290243,1,305,393,-335,33,-1.2,28.695,1.231,29.927
202,1555.301114,1555.328615,1555.329845,1,300,393,-340,33,-1.2,27.501,1.23,28.73
203,1555.346685,1555.374608,1555.375852,1,301,394,-339,34,-1.2,27.923,1.244,29.167
204,1555.385218,1555.416765,1555.418527,1,302,395,-338,35,-1.2,31.547,1.762,33.309
205,1555.43639,1555.466308,1555.467474,1,300,396,-340,36,-1.2,29.917,1.166,31.084
206,1555.478334,1555.50613,1555.507314,1,300,394,-340,34,-1.2,27.797,1.184,28.98
207,1555.524267,1555.558804,1555.560098,1,303,393,-337,33,-1.2,34.537,1.294,35.831
208,1555.569194,1555.597865,1555.599038,1,303,395,-337,35,-1.2,28.671,1.172,29.844
209,1555.615744,1555.644128,1555.645343,1,302,396,-338,36,-1.2,28.384,1.215,29.599
210,1555.656317,1555.684034,1555.685231,1,301,397,-339,37,-1.2,27.717,1.197,28.914
211,1555.702172,1555.730313,1555.731497,1,297,397,-343,37,-1.2,28.141,1.184,29.324
212,1555.740705,1555.773076,1555.774261,1,295,398,-345,38,-1.2,32.371,1.185,33.557
213,1555.790823,1555.822084,1555.823328,1,292,400,-348,40,-1.2,31.261,1.244,32.504
214,1555.834188,1555.862445,1555.863635,1,290,402,-350,42,-1.2,28.257,1.19,29.447
215,1555.880495,1555.90776,1555.909028,1,291,401,-349,41,-1.2,27.265,1.268,28.533
216,1555.917907,1555.952306,1555.953528,1,291,400,-349,40,-1.2,34.399,1.222,35.621
217,1555.971932,1556.001012,1556.002185,1,294,398,-346,38,-1.2,29.08,1.173,30.252
218,1556.011301,1556.039821,1556.041032,1,294,397,-346,37,-1.2,28.52,1.211,29.731
219,1556.05755,1556.086093,1556.087268,1,297,396,-343,36,-1.2,28.543,1.175,29.718
220,1556.097905,1556.124818,1556.12606,1,296,396,-344,36,-1.2,26.913,1.242,28.155
221,1556.143085,1556.172409,1556.173647,1,301,396,-339,36,-1.2,29.324,1.238,30.562
222,1556.182994,1556.210059,1556.211289,1,298,398,-342,38,-1.2,27.065,1.23,28.295
223,1556.227896,1556.258827,1556.260047,1,298,398,-342,38,-1.2,30.931,1.22,32.151
224,1556.270851,1556.305447,1556.306913,1,296,399,-344,39,-1.2,34.596,1.467,36.063
225,1556.323843,1556.359069,1556.360387,1,296,400,-344,40,-1.2,35.226,1.318,36.544
226,1556.369449,1556.40616,1556.407391,1,295,401,-345,41,-1.2,36.71,1.231,37.941
227,1556.423932,1556.459713,1556.460965,1,298,402,-342,42,-1.2,35.782,1.252,37.033
228,1556.47174,1556.502061,1556.50329,1,298,401,-342,41,-1.2,30.321,1.229,31.55
229,1556.520256,1556.553656,1556.554867,1,295,401,-345,41,-1.2,33.4,1.211,34.611
230,1556.563619,1556.593197,1556.594386,1,296,400,-344,40,-1.2,29.578,1.188,30.767
231,1556.613157,1556.64386,1556.645159,1,298,399,-342,39,-1.2,30.703,1.299,32.003
232,1556.656424,1556.690882,1556.692141,1,298,398,-342,38,-1.2,34.458,1.259,35.717
233,1556.710217,1556.743022,1556.74429,1,294,398,-346,38,-1.2,32.805,1.268,34.073
234,1556.755111,1556.786285,1556.787488,1,294,397,-346,37,-1.2,31.175,1.202,32.377
235,1556.804339,1556.838854,1556.841234,1,293,400,-347,40,-1.2,34.515,2.38,36.894
236,1556.850783,1556.883882,1556.885116,1,294,401,-346,41,-1.2,33.1,1.234,34.333
237,1556.903548,1556.935373,1556.936572,1,295,402,-345,42,-1.2,31.824,1.199,33.024
238,1556.945815,1556.976531,1556.977893,1,298,400,-342,40,-1.2,30.716,1.362,32.078
239,1556.994303,1557.028525,1557.029822,1,296,400,-344,40,-1.2,34.222,1.297,35.519
240,1557.040939,1557.074283,1557.075513,1,297,400,-343,40,-1.2,33.343,1.231,34.574
241,1557.092475,1557.123985,1557.125235,1,294,397,-346,37,-1.2,31.51,1.25,32.759
242,1557.134451,1557.162406,1557.163601,1,294,397,-346,37,-1.2,27.954,1.195,29.149
